"REF_DATE","GEO","DGUID","Type of reserve","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1951-01","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","596","","","","0"
"1951-02","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","607","","","","0"
"1951-03","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","610","","","","0"
"1951-04","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","625","","","","0"
"1951-05","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","634","","","","0"
"1951-06","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","646","","","","0"
"1951-07","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","663","","","","0"
"1951-08","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","673","","","","0"
"1951-09","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","683","","","","0"
"1951-10","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","724","","","","0"
"1951-11","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","792","","","","0"
"1951-12","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","842","","","","0"
"1952-01","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","847","","","","0"
"1952-02","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","856","","","","0"
"1952-03","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","866","","","","0"
"1952-04","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","867","","","","0"
"1952-05","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","876","","","","0"
"1952-06","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","884","","","","0"
"1952-07","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","878","","","","0"
"1952-08","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","874","","","","0"
"1952-09","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","883","","","","0"
"1952-10","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","875","","","","0"
"1952-11","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","876","","","","0"
"1952-12","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","885","","","","0"
"1953-01","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1946","","","","0"
"1953-01","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","982","","","","0"
"1953-01","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","888","","","","0"
"1953-01","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-02","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1917","","","","0"
"1953-02","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","949","","","","0"
"1953-02","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","893","","","","0"
"1953-02","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-03","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1925","","","","0"
"1953-03","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","944","","","","0"
"1953-03","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","906","","","","0"
"1953-03","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-04","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1923","","","","0"
"1953-04","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","935","","","","0"
"1953-04","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","914","","","","0"
"1953-04","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-05","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1841","","","","0"
"1953-05","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","843","","","","0"
"1953-05","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","923","","","","0"
"1953-05","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-06","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1830","","","","0"
"1953-06","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","820","","","","0"
