"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Canadian and foreign direct investment","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Total, all industries","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v20143876","1.1.1.1","290730","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661098","1.1.1.2","151775","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661099","1.1.1.3","56646","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661100","1.1.1.4","21882","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661101","1.1.1.5","57747","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661102","1.1.1.6","2680","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v20143877","1.1.2.1","252563","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661103","1.1.2.2","176045","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661104","1.1.2.3","3577","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661105","1.1.2.4","14182","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661106","1.1.2.5","58476","","","","0"
"1999","Canada","2016A000011124","Total, all industries","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661107","1.1.2.6","284","","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661148","1.14.1.1","596","","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661149","1.14.1.2","91","","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661150","1.14.1.3","151","","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661151","1.14.1.4","","x","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661152","1.14.1.5","","x","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661153","1.14.1.6","","..","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661154","1.14.2.1","631","","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661155","1.14.2.2","260","","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661156","1.14.2.3","","x","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661157","1.14.2.4","38","","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661158","1.14.2.5","295","","","","0"
"1999","Canada","2016A000011124","Agriculture,forestry, fishing and hunting [11]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661159","1.14.2.6","","x","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661160","1.15.1.1","39623","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661161","1.15.1.2","16902","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661162","1.15.1.3","10230","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661163","1.15.1.4","4959","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661164","1.15.1.5","5283","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661165","1.15.1.6","2249","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661166","1.15.2.1","24320","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661167","1.15.2.2","20374","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661168","1.15.2.3","","x","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661169","1.15.2.4","2906","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661170","1.15.2.5","753","","","","0"
"1999","Canada","2016A000011124","Mining and oil and gas extraction [21]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661171","1.15.2.6","","x","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661172","1.16.1.1","13288","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661173","1.16.1.2","3628","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661174","1.16.1.3","2796","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661175","1.16.1.4","2423","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661176","1.16.1.5","3252","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661177","1.16.1.6","1189","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661178","1.16.2.1","17619","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661179","1.16.2.2","16644","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661180","1.16.2.3","90","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661181","1.16.2.4","","x","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661182","1.16.2.5","-1201","","","","0"
"1999","Canada","2016A000011124","Oil and gas extraction [211]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661183","1.16.2.6","","x","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661184","1.17.1.1","23878","","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661185","1.17.1.2","12064","","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661186","1.17.1.3","","x","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661187","1.17.1.4","2189","","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661188","1.17.1.5","1575","","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661189","1.17.1.6","","x","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661190","1.17.2.1","5520","","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661191","1.17.2.2","2864","","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661192","1.17.2.3","","x","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661193","1.17.2.4","","x","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661194","1.17.2.5","1862","","","","0"
"1999","Canada","2016A000011124","Mining (except oil and gas) [212]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661195","1.17.2.6","","..","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661196","1.18.1.1","2457","","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661197","1.18.1.2","1210","","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661198","1.18.1.3","","x","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661199","1.18.1.4","347","","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661200","1.18.1.5","457","","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661201","1.18.1.6","","x","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661202","1.18.2.1","1182","","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661203","1.18.2.2","865","","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661204","1.18.2.3","","x","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661205","1.18.2.4","223","","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661206","1.18.2.5","92","","","","0"
"1999","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661207","1.18.2.6","","x","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661208","1.19.1.1","2078","","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661209","1.19.1.2","459","","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661210","1.19.1.3","927","","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661211","1.19.1.4","","x","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661212","1.19.1.5","","x","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661213","1.19.1.6","","x","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661214","1.19.2.1","584","","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661215","1.19.2.2","442","","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661216","1.19.2.4","","x","","","0"
"1999","Canada","2016A000011124","Utilities [22]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661217","1.19.2.5","","x","","","0"
"1999","Canada","2016A000011124","Construction [23]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661218","1.20.1.1","1532","","","","0"
"1999","Canada","2016A000011124","Construction [23]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661219","1.20.1.2","1320","","","","0"
"1999","Canada","2016A000011124","Construction [23]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661220","1.20.1.3","41","","","","0"
"1999","Canada","2016A000011124","Construction [23]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661221","1.20.1.4","","x","","","0"
"1999","Canada","2016A000011124","Construction [23]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661222","1.20.1.5","166","","","","0"
"1999","Canada","2016A000011124","Construction [23]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661223","1.20.1.6","","x","","","0"
"1999","Canada","2016A000011124","Construction [23]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661224","1.20.2.1","1457","","","","0"
"1999","Canada","2016A000011124","Construction [23]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661225","1.20.2.2","776","","","","0"
"1999","Canada","2016A000011124","Construction [23]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661226","1.20.2.3","","x","","","0"
"1999","Canada","2016A000011124","Construction [23]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661227","1.20.2.4","71","","","","0"
"1999","Canada","2016A000011124","Construction [23]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661228","1.20.2.5","596","","","","0"
"1999","Canada","2016A000011124","Construction [23]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661229","1.20.2.6","","x","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v20143880","1.3.1.1","81692","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661324","1.3.1.2","48415","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661325","1.3.1.3","6721","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661326","1.3.1.4","7184","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661327","1.3.1.5","19226","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661328","1.3.1.6","146","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v20143881","1.3.2.1","98093","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661329","1.3.2.2","66465","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661330","1.3.2.3","1845","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661331","1.3.2.4","4998","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661332","1.3.2.5","24744","","","","0"
"1999","Canada","2016A000011124","Manufacturing [31-33]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661333","1.3.2.6","42","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661230","1.21.1.1","2729","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661231","1.21.1.2","1562","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661232","1.21.1.3","438","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661233","1.21.1.4","","x","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661234","1.21.1.5","515","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661235","1.21.1.6","","x","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661236","1.21.2.1","8377","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661237","1.21.2.2","6230","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661238","1.21.2.3","","x","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661239","1.21.2.4","128","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661240","1.21.2.5","1985","","","","0"
"1999","Canada","2016A000011124","Food manufacturing [311]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661241","1.21.2.6","","x","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661242","1.22.1.1","5666","","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661243","1.22.1.2","","x","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661244","1.22.1.3","1015","","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661245","1.22.1.4","","x","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661246","1.22.1.5","2098","","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661247","1.22.1.6","","x","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661248","1.22.2.1","10573","","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661249","1.22.2.2","","x","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661250","1.22.2.3","","x","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661251","1.22.2.4","","x","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661252","1.22.2.5","6044","","","","0"
"1999","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661253","1.22.2.6","","..","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661254","1.23.1.1","130","","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661255","1.23.1.2","70","","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661256","1.23.1.3","","x","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661257","1.23.1.4","","x","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661258","1.23.1.5","","x","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661259","1.23.1.6","","..","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661260","1.23.2.1","463","","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661261","1.23.2.2","337","","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661262","1.23.2.3","","x","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661263","1.23.2.4","","x","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661264","1.23.2.5","130","","","","0"
"1999","Canada","2016A000011124","Textile mills [313]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661265","1.23.2.6","","x","","","0"
"1999","Canada","2016A000011124","Textile product mills [314]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661266","1.24.1.1","","x","","","0"
