Year,Annual_GDP,GDP_Growth
2018,1712479.00,2.00
2017,1649934.00,3.20
2016,1530024.00,1.00
2015,1556506.00,0.70
2014,1805745.00,2.90
2013,1846595.00,2.30
2012,1828363.00,1.80
2011,1793327.00,3.10
2010,1617344.00,3.10
2009,1376509.00,-2.90
2008,1552865.00,1.00
2007,1468897.00,2.10
2006,1319327.00,2.60
2005,1173490.00,3.20
2004,1026467.00,3.10
2003,895593.00,1.80
2002,760144.00,3.00
2001,738961.00,1.80
2000,744623.00,5.20
1999,678408.00,5.20
1998,633996.00,3.90
1997,654989.00,4.30
1996,630577.00,1.60
1995,605921.00,2.70
1994,579904.00,4.50
1993,579050.00,2.70
1992,594365.00,0.90
1991,612503.00,-2.10
1990,596077.00,0.20
1989,567215.00,2.30
1988,509372.00,4.40
1987,433133.00,4.10
1986,379009.00,2.10
1985,366179.00,4.70
1984,356723.00,5.90
1983,341859.00,2.60
1982,314635.00,-3.20
1981,307243.00,3.50
1980,276035.00,2.20
1979,243072.00,3.70
1978,218633.00,3.70
1977,211612.00,3.40
1976,206576.00,5.90
1975,173834.00,1.50
1974,160409.00,3.30
1973,131322.00,6.80
1972,113083.00,5.50
1971,99272.00,4.00
1970,87896.00,3.00
1969,77888.00,5.00
1968,70759.00,5.00
1967,64769.00,3.10
1966,60359.00,6.70
1965,53910.00,6.30
1964,48883.00,6.60
1963,44657.00,5.30
1962,41979.00,7.40
1961,40768.00,3.10
1960,41094.00,
